processorNum iteration numProc time
6 1 32 1002180
7 1 32 1007952
8 1 32 1012543
9 1 32 1014504
10 1 32 1036941
11 1 32 1043555
12 1 32 1054005
13 1 32 1055216
14 1 32 1059157
15 1 32 1062475
16 1 32 1070362
17 1 32 1078799
18 1 32 1079977
19 1 32 1103003
20 1 32 1106161
21 1 32 1107670
22 1 32 1127784
23 1 32 1130437
24 1 32 1131986
25 1 32 1143268
26 1 32 1158733
27 1 32 1197946
28 1 32 1232549
29 1 32 1245121
30 1 32 1248379
31 1 32 1307997
32 1 32 1444588
1 1 32 945309
2 1 32 993429
3 1 32 996269
4 1 32 998725
5 1 32 1007601
6 1 32 1020355
7 1 32 1022037
8 1 32 1037789
9 1 32 1039456
10 1 32 1047371
11 1 32 1048128
12 1 32 1057858
13 1 32 1065885
14 1 32 1074170
15 1 32 1078648
16 1 32 1086573
17 1 32 1089819
18 1 32 1091589
19 1 32 1112688
20 1 32 1118749
21 1 32 1119237
22 1 32 1120916
23 1 32 1129539
24 1 32 1131078
25 1 32 1133428
26 1 32 1137598
27 1 32 1140207
28 1 32 1140532
29 1 32 1150548
30 1 32 1163390
31 1 32 1172405
32 1 32 1331439
1 1 32 966740
2 1 32 977175
3 1 32 979886
4 1 32 1008758
5 1 32 1018516
6 1 32 1028869
7 1 32 1032976
8 1 32 1036898
9 1 32 1050128
10 1 32 1052298
11 1 32 1054982
12 1 32 1064116
13 1 32 1066367
14 1 32 1074008
15 1 32 1075734
16 1 32 1082866
17 1 32 1085937
18 1 32 1098996
19 1 32 1105408
20 1 32 1106893
21 1 32 1108643
22 1 32 1110086
23 1 32 1111419
24 1 32 1115700
25 1 32 1121884
26 1 32 1125635
27 1 32 1126779
28 1 32 1132245
29 1 32 1136076
30 1 32 1140582
31 1 32 1193831
32 1 32 1249212
1 1 32 982546
2 1 32 998844
3 1 32 995030
4 1 32 1004781
5 1 32 1005770
6 1 32 1007945
7 1 32 1021327
8 1 32 1031698
9 1 32 1035446
10 1 32 1048278
11 1 32 1053849
12 1 32 1050606
13 1 32 1071627
14 1 32 1077243
15 1 32 1083231
16 1 32 1082821
17 1 32 1095772
18 1 32 1088649
19 1 32 1104883
20 1 32 1105432
21 1 32 1109485
22 1 32 1117975
23 1 32 1123333
24 1 32 1124293
25 1 32 1125051
26 1 32 1140179
27 1 32 1140298
28 1 32 1156078
29 1 32 1156993
30 1 32 1164093
31 1 32 1162513
32 1 32 1208543
1 1 32 978512
2 1 32 994789
3 1 32 1006128
4 1 32 1029844
5 1 32 1031346
6 1 32 1035286
7 1 32 1042383
8 1 32 1044033
9 1 32 1045099
10 1 32 1049955
11 1 32 1058321
12 1 32 1066775
13 1 32 1068513
14 1 32 1073014
15 1 32 1076782
16 1 32 1091919
17 1 32 1093544
18 1 32 1094599
19 1 32 1095297
20 1 32 1101819
21 1 32 1105044
22 1 32 1106516
23 1 32 1123417
24 1 32 1125034
25 1 32 1132492
26 1 32 1134715
27 1 32 1136466
28 1 32 1138814
29 1 32 1140978
30 1 32 1160473
31 1 32 1168091
32 1 32 1170409
1 1 32 983840
2 1 32 990241
3 1 32 1000431
4 1 32 1008142
5 1 32 1014617
6 1 32 1024481
7 1 32 1036421
8 1 32 1037277
9 1 32 1047297
10 1 32 1055758
11 1 32 1058527
12 1 32 1058648
13 1 32 1067172
14 1 32 1080213
15 1 32 1090014
16 1 32 1093053
17 1 32 1097387
18 1 32 1098498
19 1 32 1104151
20 1 32 1108259
21 1 32 1108879
22 1 32 1110981
23 1 32 1114186
24 1 32 1110400
25 1 32 1126941
26 1 32 1130168
27 1 32 1134015
28 1 32 1148104
29 1 32 1170465
30 1 32 1171388
31 1 32 1174070
32 1 32 1213646
1 1 32 877883
2 1 32 993873
3 1 32 998588
4 1 32 1002791
5 1 32 1009575
6 1 32 1016770
7 1 32 1023553
8 1 32 1030900
9 1 32 1039944
10 1 32 1053450
11 1 32 1053851
12 1 32 1061754
13 1 32 1068820
14 1 32 1070846
15 1 32 1074303
16 1 32 1075152
17 1 32 1075967
18 1 32 1083397
19 1 32 1094490
20 1 32 1101628
21 1 32 1101805
22 1 32 1102252
23 1 32 1106509
24 1 32 1113779
25 1 32 1121853
26 1 32 1129348
27 1 32 1131523
28 1 32 1146894
29 1 32 1168679
30 1 32 1185752
31 1 32 1208095
32 1 32 1218731
1 1 32 979738
2 1 32 997554
3 1 32 1000047
4 1 32 1018714
5 1 32 1030697
6 1 32 1050058
7 1 32 1051770
8 1 32 1053791
9 1 32 1059284
10 1 32 1063768
11 1 32 1066820
12 1 32 1069233
13 1 32 1071288
14 1 32 1072658
15 1 32 1075358
16 1 32 1076640
17 1 32 1070119
18 1 32 1084465
19 1 32 1085954
20 1 32 1102466
21 1 32 1105048
22 1 32 1107237
23 1 32 1118009
24 1 32 1119900
25 1 32 1121352
26 1 32 1132431
27 1 32 1134413
28 1 32 1134437
29 1 32 1135475
30 1 32 1141983
31 1 32 1163110
32 1 32 1300923
1 1 32 986491
2 1 32 990352
3 1 32 995190
4 1 32 1000302
5 1 32 1017904
6 1 32 1029922
7 1 32 1032749
8 1 32 1044978
9 1 32 1059560
10 1 32 1061215
11 1 32 1069719
12 1 32 1070342
13 1 32 1067652
14 1 32 1072639
15 1 32 1077714
16 1 32 1078336
17 1 32 1081947
18 1 32 1078138
19 1 32 1083838
20 1 32 1090735
21 1 32 1090833
22 1 32 1097277
23 1 32 1099943
24 1 32 1102257
25 1 32 1119888
26 1 32 1126811
27 1 32 1132583
28 1 32 1135421
29 1 32 1140943
30 1 32 1144110
31 1 32 1190178
32 1 32 1215112
1 2 32 596147
2 2 32 601075
3 2 32 660540
4 2 32 664874
5 2 32 666535
6 2 32 707638
7 2 32 730555
8 2 32 731801
9 2 32 737360
10 2 32 777388
11 2 32 785193
12 2 32 822325
13 2 32 827323
14 2 32 829459
15 2 32 837947
16 2 32 848219
17 2 32 852533
18 2 32 856512
19 2 32 858368
20 2 32 867471
21 2 32 872746
22 2 32 880343
23 2 32 881741
24 2 32 925695
25 2 32 946743
26 2 32 960478
27 2 32 999537
28 2 32 996047
29 2 32 1135566
30 2 32 1144586
31 2 32 1147411
32 2 32 1168164
1 2 32 722791
2 2 32 826191
3 2 32 870216
4 2 32 943222
5 2 32 957419
6 2 32 1004905
7 2 32 1022909
8 2 32 1025276
9 2 32 1028062
10 2 32 1037890
11 2 32 1043740
12 2 32 1061309
13 2 32 1062842
14 2 32 1070810
15 2 32 1070964
16 2 32 1086406
17 2 32 1088425
18 2 32 1089194
19 2 32 1089868
20 2 32 1102451
21 2 32 1107460
22 2 32 1135746
23 2 32 1145195
24 2 32 1157104
25 2 32 1163709
26 2 32 1172753
27 2 32 1199587
28 2 32 1201440
29 2 32 1206101
30 2 32 1251056
31 2 32 1260454
32 2 32 1268354
1 2 32 879804
2 2 32 1028756
3 2 32 1037314
4 2 32 1038474
5 2 32 1042545
6 2 32 1053813
7 2 32 1060487
8 2 32 1061560
9 2 32 1061767
10 2 32 1063937
11 2 32 1070160
12 2 32 1072522
13 2 32 1080873
14 2 32 1082765
15 2 32 1085455
16 2 32 1089660
17 2 32 1095840
18 2 32 1109885
19 2 32 1110109
20 2 32 1115815
21 2 32 1128483
22 2 32 1128716
23 2 32 1134380
24 2 32 1143768
25 2 32 1140944
26 2 32 1152226
27 2 32 1181885
28 2 32 1183805
29 2 32 1185402
30 2 32 1222916
31 2 32 1253177
32 2 32 1313683
1 2 32 826585
2 2 32 1000731
3 2 32 1027369
4 2 32 1025284
5 2 32 1028924
6 2 32 1030551
7 2 32 1043467
8 2 32 1058889
9 2 32 1059604
10 2 32 1070066
11 2 32 1064462
12 2 32 1078480
13 2 32 1081219
14 2 32 1086474
15 2 32 1088493
16 2 32 1092860
17 2 32 1092831
18 2 32 1093122
19 2 32 1101630
20 2 32 1101836
21 2 32 1107841
22 2 32 1124965
23 2 32 1126036
24 2 32 1148593
25 2 32 1154248
26 2 32 1164094
27 2 32 1178596
28 2 32 1202629
29 2 32 1208063
30 2 32 1282327
31 2 32 1287249
32 2 32 1389090
1 2 32 1009723
2 2 32 1014113
3 2 32 1027356
4 2 32 1029247
5 2 32 1031025
6 2 32 1047491
7 2 32 1052250
8 2 32 1062517
9 2 32 1063023
10 2 32 1069749
11 2 32 1073394
12 2 32 1078067
13 2 32 1078516
14 2 32 1086131
15 2 32 1086419
16 2 32 1087850
17 2 32 1088232
18 2 32 1093709
19 2 32 1094042
20 2 32 1101323
21 2 32 1113261
22 2 32 1116571
23 2 32 1118776
24 2 32 1120134
25 2 32 1130362
26 2 32 1158182
27 2 32 1163025
28 2 32 1167440
29 2 32 1191775
30 2 32 1219176
31 2 32 1276165
32 2 32 1343162
1 2 32 974058
2 2 32 991317
3 2 32 1014753
4 2 32 1033695
5 2 32 1041360
6 2 32 1043033
7 2 32 1049316
8 2 32 1067696
9 2 32 1069666
10 2 32 1070517
11 2 32 1080400
12 2 32 1082420
13 2 32 1089010
14 2 32 1091613
15 2 32 1092295
16 2 32 1093230
17 2 32 1107846
18 2 32 1112448
19 2 32 1113469
20 2 32 1114130
21 2 32 1121963
22 2 32 1130772
23 2 32 1134462
24 2 32 1146935
25 2 32 1149256
26 2 32 1151625
27 2 32 1148865
28 2 32 1168973
29 2 32 1177145
30 2 32 1177660
31 2 32 1208442
32 2 32 1315606
1 2 32 964691
2 2 32 999954
3 2 32 1011971
4 2 32 1044768
5 2 32 1047522
6 2 32 1066878
7 2 32 1072503
8 2 32 1074118
9 2 32 1086272
10 2 32 1095934
11 2 32 1096672
12 2 32 1099261
13 2 32 1100979
14 2 32 1102276
15 2 32 1107149
16 2 32 1108711
17 2 32 1097468
18 2 32 1114309
19 2 32 1121637
20 2 32 1125225
21 2 32 1126033
22 2 32 1127288
23 2 32 1132939
24 2 32 1134413
25 2 32 1143795
26 2 32 1151941
27 2 32 1154876
28 2 32 1177440
29 2 32 1187703
30 2 32 1182592
31 2 32 1212941
32 2 32 1245184
1 2 32 996304
2 2 32 1009529
3 2 32 1024032
4 2 32 1023819
5 2 32 1042246
6 2 32 1056218
7 2 32 1059904
8 2 32 1064004
9 2 32 1077824
10 2 32 1079925
11 2 32 1080262
12 2 32 1094103
13 2 32 1096293
14 2 32 1102604
15 2 32 1103253
16 2 32 1110429
17 2 32 1113049
18 2 32 1116309
19 2 32 1118539
20 2 32 1121382
21 2 32 1122933
22 2 32 1126335
23 2 32 1131365
24 2 32 1133816
25 2 32 1134625
26 2 32 1136892
27 2 32 1141432
28 2 32 1189372
29 2 32 1201581
30 2 32 1226600
31 2 32 1245405
32 2 32 1303841
1 2 32 870449
2 2 32 977005
3 2 32 977604
4 2 32 1021081
5 2 32 1037760
6 2 32 1038712
7 2 32 1046114
8 2 32 1048023
9 2 32 1049124
10 2 32 1061040
11 2 32 1063656
12 2 32 1076864
13 2 32 1083879
14 2 32 1084020
15 2 32 1097701
16 2 32 1106062
17 2 32 1107868
18 2 32 1116129
19 2 32 1121604
20 2 32 1138515
21 2 32 1143127
22 2 32 1151842
23 2 32 1162140
24 2 32 1167622
25 2 32 1173088
26 2 32 1179523
27 2 32 1190515
28 2 32 1194011
29 2 32 1196998
30 2 32 1200440
31 2 32 1239607
32 2 32 1396239
1 2 32 973655
2 2 32 1026320
3 2 32 1029675
4 2 32 1029850
5 2 32 1031534
6 2 32 1039596
7 2 32 1049169
8 2 32 1051236
9 2 32 1051914
10 2 32 1057552
11 2 32 1063849
12 2 32 1071146
13 2 32 1078159
14 2 32 1089428
15 2 32 1087821
16 2 32 1095986
17 2 32 1097702
18 2 32 1103422
